Dataset,OPT
p3020n4,11.1
p3020n5,11.1
p3020n6,11.1
p3020n7,11.1
p3020n8,11.1
p3020n9,11.1
p3020n10,11.1
p3030n1,12.2
p3030n2,12.2
p3030n3,12.2
p3030n4,12.2
p3030n5,12.2
p3030n6,12.2
p3030n7,12.2
p3030n8,12.2
p3030n9,12.2
p3030n10,12.2
p3040n1,12.1
p3040n2,12.1
p3040n3,12.1
p3040n4,12.1
p3040n5,12.1
p3040n6,12.1
p3040n7,12.1
p3040n8,12.1
p3040n9,12.1
p3040n10,12.1
p3050n1,11.2
p3050n2,11.2
p3050n3,11.2
p3050n4,11.2
p3050n5,11.2
p3050n6,11.2
p3050n7,11.2
p3050n8,11.2
p3050n9,11.2
p3050n10,11.2
p4010n1,8.4
p4010n2,8.4
p4010n3,8.4
p4010n4,8.4
p4010n5,8.4
p4010n6,8.4
p4010n7,8.4
p4010n8,8.4
p4010n9,8.4
p4010n10,8.4
p4020n1,13
p4020n2,13
p4020n3,13
p4020n4,13
p4020n5,13
p4020n6,13
p4020n7,13
p4020n8,13
p4020n9,13
p4020n10,13
p4030n1,14.5
p4030n2,14.5
p4030n3,14.5
p4030n4,14.5
p4030n5,14.5
p4030n6,14.5
p4030n7,14.5
p4030n8,14.5
p4030n9,14.5
p4030n10,14.5
p4040n1,14.9
p4040n2,14.9
p4040n3,14.9
p4040n4,14.9
p4040n5,14.9
p4040n6,14.9
p4040n7,14.9
p4040n8,14.9
p4040n9,14.9
p4040n10,14.9
p4050n1,14.6
p4050n2,14.6
p4050n3,14.6
p4050n4,14.6
p4050n5,14.6
p4050n6,14.6
p4050n7,14.6
p4050n8,14.6
p4050n9,14.6
p4050n10,14.6
Random-30-30-2-1,8.6
Random-30-30-2-2,8.6
Random-30-30-2-3,8.6
Random-30-30-2-4,8.6
Random-30-30-2-5,8.6
Random-30-30-4-1,16
Random-30-30-4-2,16
Random-30-30-4-3,16
Random-30-30-4-4,16
Random-30-30-4-5,16
Random-30-30-6-1,21.2
Random-30-30-6-2,21.2
Random-30-30-6-3,21.2
Random-30-30-6-4,21.2
Random-30-30-6-5,21.2
Random-30-30-8-1,25.2
Random-30-30-8-2,25.2
Random-30-30-8-3,25.2
Random-30-30-8-4,25.2
Random-30-30-8-5,25.2
Random-30-30-10-1,27
Random-30-30-10-2,27
Random-30-30-10-3,27
Random-30-30-10-4,27
Random-30-30-10-5,27
Random-40-40-2-1,11
Random-40-40-2-2,11
Random-40-40-2-3,11
Random-40-40-2-4,11
Random-40-40-2-5,11
Random-40-40-4-1,20.2
Random-40-40-4-2,20.2
Random-40-40-4-3,20.2
Random-40-40-4-4,20.2
Random-40-40-4-5,20.2
Random-40-40-6-1,28.2
Random-40-40-6-2,28.2
Random-40-40-6-3,28.2
Random-40-40-6-4,28.2
Random-40-40-6-5,28.2
Random-40-40-8-1,32.6
Random-40-40-8-2,32.6
Random-40-40-8-3,32.6
Random-40-40-8-4,32.6
Random-40-40-8-5,32.6
Random-40-40-10-1,35.4
Random-40-40-10-2,35.4
Random-40-40-10-3,35.4
Random-40-40-10-4,35.4
Random-40-40-10-5,35.4
Random-50-50-2-1,13.2
Random-50-50-2-2,13.2
Random-50-50-2-3,13.2
Random-50-50-2-4,13.2
Random-50-50-2-5,13.2
Random-50-50-4-1,23.8
Random-50-50-4-2,23.8
Random-50-50-4-3,23.8
Random-50-50-4-4,23.8
Random-50-50-4-5,23.8
Random-50-50-6-1,35.2
Random-50-50-6-2,35.2
Random-50-50-6-3,35.2
Random-50-50-6-4,35.2
Random-50-50-6-5,35.2
Random-50-50-8-1,40.4
Random-50-50-8-2,40.4
Random-50-50-8-3,40.4
Random-50-50-8-4,40.4
Random-50-50-8-5,40.4
Random-50-50-10-1,44.4
Random-50-50-10-2,44.4
Random-50-50-10-3,44.4
Random-50-50-10-4,44.4
Random-50-50-10-5,44.4
Random-50-100-2-1,21.1
Random-50-100-2-2,21.1
Random-50-100-2-3,21.1
Random-50-100-2-4,21.1
Random-50-100-2-5,21.1
Random-50-100-4-1,34.6
Random-50-100-4-2,34.6
Random-50-100-4-3,34.6
Random-50-100-4-4,34.6
Random-50-100-4-5,34.6
Random-50-100-6-1,42.4
Random-50-100-6-2,42.4
Random-50-100-6-3,42.4
Random-50-100-6-4,42.4
Random-50-100-6-5,42.4
Random-50-100-8-1,46.2
Random-50-100-8-2,46.2
Random-50-100-8-3,46.2
Random-50-100-8-4,46.2
Random-50-100-8-5,46.2
Random-50-100-10-1,47.8
Random-50-100-10-2,47.8
Random-50-100-10-3,47.8
Random-50-100-10-4,47.8
Random-50-100-10-5,47.8
Random-75-75-2-1,15.8
Random-75-75-2-2,15.8
Random-75-75-2-3,15.8
Random-75-75-2-4,15.8
Random-75-75-2-5,15.8
Random-75-75-4-1,34.2
Random-75-75-4-2,34.2
Random-75-75-4-3,34.2
Random-75-75-4-4,34.2
Random-75-75-4-5,34.2
Random-75-75-6-1,50
Random-75-75-6-2,50
Random-75-75-6-3,50
Random-75-75-6-4,50
Random-75-75-6-5,50
Random-75-75-8-1,59.4
Random-75-75-8-2,59.4
Random-75-75-8-3,59.4
Random-75-75-8-4,59.4
Random-75-75-8-5,59.4
Random-75-75-10-1,64.8
Random-75-75-10-2,64.8
Random-75-75-10-3,64.8
Random-75-75-10-4,64.8
Random-75-75-10-5,64.8
Random-100-50-2-1,11.6
Random-100-50-2-2,11.6
Random-100-50-2-3,11.6
Random-100-50-2-4,11.6
Random-100-50-2-5,11.6
Random-100-50-4-1,26.4
Random-100-50-4-2,26.4
Random-100-50-4-3,26.4
Random-100-50-4-4,26.4
Random-100-50-4-5,26.4
Random-100-50-6-1,44
Random-100-50-6-2,44
Random-100-50-6-3,44
Random-100-50-6-4,44
Random-100-50-6-5,44
Random-100-50-8-1,56.2
Random-100-50-8-2,56.2
Random-100-50-8-3,56.2
Random-100-50-8-4,56.2
Random-100-50-8-5,56.2
Random-100-50-10-1,67.2
Random-100-50-10-2,67.2
Random-100-50-10-3,67.2
Random-100-50-10-4,67.2
Random-100-50-10-5,67.2
Random-100-100-2-1,20.2
Random-100-100-2-2,20.2
Random-100-100-2-3,20.2
Random-100-100-2-4,20.2
Random-100-100-2-5,20.2
Random-100-100-4-1,45
Random-100-100-4-2,45
Random-100-100-4-3,45
Random-100-100-4-4,45
Random-100-100-4-5,45
Random-100-100-6-1,64.6
Random-100-100-6-2,64.6
Random-100-100-6-3,64.6
Random-100-100-6-4,64.6
Random-100-100-6-5,64.6
Random-100-100-8-1,76.6
Random-100-100-8-2,76.6
Random-100-100-8-3,76.6
Random-100-100-8-4,76.6
Random-100-100-8-5,76.6
Random-100-100-10-1,84.6
Random-100-100-10-2,84.6
Random-100-100-10-3,84.6
Random-100-100-10-4,84.6
Random-100-100-10-5,84.6
Random-125-125-2-1,22.8
Random-125-125-2-2,22.8
Random-125-125-2-3,22.8
Random-125-125-2-4,22.8
Random-125-125-2-5,22.8
Random-125-125-4-1,53
Random-125-125-4-2,53
Random-125-125-4-3,53
Random-125-125-4-4,53
Random-125-125-4-5,53
Random-125-125-6-1,78.4
Random-125-125-6-2,78.4
Random-125-125-6-3,78.4
Random-125-125-6-4,78.4
Random-125-125-6-5,78.4
Random-125-125-8-1,93.6
Random-125-125-8-2,93.6
Random-125-125-8-3,93.6
Random-125-125-8-4,93.6
Random-125-125-8-5,93.6
Random-125-125-10-1,103.2
Random-125-125-10-2,103.2
Random-125-125-10-3,103.2
Random-125-125-10-4,103.2
Random-125-125-10-5,103.2
Random-400-400-2-1,74.2
Random-400-400-2-2,74.2
Random-400-400-2-3,74.2
Random-400-400-2-4,74.2
Random-400-400-2-5,74.2
Random-400-400-2-6,74.2
Random-400-400-2-7,74.2
Random-400-400-2-8,74.2
Random-400-400-2-9,74.2
Random-400-400-2-10,74.2
Random-400-400-4-1,164.6
Random-400-400-4-2,164.6
Random-400-400-4-3,164.6
Random-400-400-4-4,164.6
Random-400-400-4-5,164.6
Random-400-400-4-6,164.6
Random-400-400-4-7,164.6
Random-400-400-4-8,164.6
Random-400-400-4-9,164.6
Random-400-400-4-10,164.6
Random-400-400-6-1,242.5
Random-400-400-6-2,242.5
Random-400-400-6-3,242.5
Random-400-400-6-4,242.5
Random-400-400-6-5,242.5
Random-400-400-6-6,242.5
Random-400-400-6-7,242.5
Random-400-400-6-8,242.5
Random-400-400-6-9,242.5
Random-400-400-6-10,242.5
Random-400-400-8-1,294.3
Random-400-400-8-2,294.3
Random-400-400-8-3,294.3
Random-400-400-8-4,294.3
Random-400-400-8-5,294.3
Random-400-400-8-6,294.3
Random-400-400-8-7,294.3
Random-400-400-8-8,294.3
Random-400-400-8-9,294.3
Random-400-400-8-10,294.3
Random-400-400-10-1,323.7
Random-400-400-10-2,323.7
Random-400-400-10-3,323.7
Random-400-400-10-4,323.7
Random-400-400-10-5,323.7
Random-400-400-10-6,323.7
Random-400-400-10-7,323.7
Random-400-400-10-8,323.7
Random-400-400-10-9,323.7
Random-400-400-10-10,323.7
Random-400-400-14-1,357.9
Random-400-400-14-2,357.9
Random-400-400-14-3,357.9
Random-400-400-14-4,357.9
Random-400-400-14-5,357.9
Random-400-400-14-6,357.9
Random-400-400-14-7,357.9
Random-400-400-14-8,357.9
Random-400-400-14-9,357.9
Random-400-400-14-10,357.9
Random-400-400-18-1,374.3
Random-400-400-18-2,374.3
Random-400-400-18-3,374.3
Random-400-400-18-4,374.3
Random-400-400-18-5,374.3
Random-400-400-18-6,374.3
Random-400-400-18-7,374.3
Random-400-400-18-8,374.3
Random-400-400-18-9,374.3
Random-400-400-18-10,374.3
Random-400-400-20-1,379
Random-400-400-20-2,379
Random-400-400-20-3,379
Random-400-400-20-4,379
Random-400-400-20-5,379
Random-400-400-20-6,379
Random-400-400-20-7,379
Random-400-400-20-8,379
Random-400-400-20-9,379
Random-400-400-20-10,379
Random-400-400-24-1,386.1
Random-400-400-24-2,386.1
Random-400-400-24-3,386.1
Random-400-400-24-4,386.1
Random-400-400-24-5,386.1
Random-400-400-24-6,386.1
Random-400-400-24-7,386.1
Random-400-400-24-8,386.1
Random-400-400-24-9,386.1
Random-400-400-24-10,386.1
Random-400-400-28-1,390
Random-400-400-28-2,390
Random-400-400-28-3,390
Random-400-400-28-4,390
Random-400-400-28-5,390
Random-400-400-28-6,390
Random-400-400-28-7,390
Random-400-400-28-8,390
Random-400-400-28-9,390
Random-400-400-28-10,390
Random-400-400-30-1,391.8
Random-400-400-30-2,391.8
Random-400-400-30-3,391.8
Random-400-400-30-4,391.8
Random-400-400-30-5,391.8
Random-400-400-30-6,391.8
Random-400-400-30-7,391.8
Random-400-400-30-8,391.8
Random-400-400-30-9,391.8
Random-400-400-30-10,391.8
Random-400-400-34-1,393.9
Random-400-400-34-2,393.9
Random-400-400-34-3,393.9
Random-400-400-34-4,393.9
Random-400-400-34-5,393.9
Random-400-400-34-6,393.9
Random-400-400-34-7,393.9
Random-400-400-34-8,393.9
Random-400-400-34-9,393.9
Random-400-400-34-10,393.9
Random-600-600-2-1,106.6
Random-600-600-2-2,106.6
Random-600-600-2-3,106.6
Random-600-600-2-4,106.6
Random-600-600-2-5,106.6
Random-600-600-2-6,106.6
Random-600-600-2-7,106.6
Random-600-600-2-8,106.6
Random-600-600-2-9,106.6
Random-600-600-2-10,106.6
Random-600-600-4-1,243.1
Random-600-600-4-2,243.1
Random-600-600-4-3,243.1
Random-600-600-4-4,243.1
Random-600-600-4-5,243.1
Random-600-600-4-6,243.1
Random-600-600-4-7,243.1
Random-600-600-4-8,243.1
Random-600-600-4-9,243.1
Random-600-600-4-10,243.1
Random-600-600-6-1,362.2
Random-600-600-6-2,362.2
Random-600-600-6-3,362.2
Random-600-600-6-4,362.2
Random-600-600-6-5,362.2
Random-600-600-6-6,362.2
Random-600-600-6-7,362.2
Random-600-600-6-8,362.2
Random-600-600-6-9,362.2
Random-600-600-6-10,362.2
Random-600-600-8-1,437.6
Random-600-600-8-2,437.6
Random-600-600-8-3,437.6
Random-600-600-8-4,437.6
Random-600-600-8-5,437.6
Random-600-600-8-6,437.6
Random-600-600-8-7,437.6
Random-600-600-8-8,437.6
Random-600-600-8-9,437.6
Random-600-600-8-10,437.6
Random-600-600-10-1,484.2
Random-600-600-10-2,484.2
Random-600-600-10-3,484.2
Random-600-600-10-4,484.2
Random-600-600-10-5,484.2
Random-600-600-10-6,484.2
Random-600-600-10-7,484.2
Random-600-600-10-8,484.2
Random-600-600-10-9,484.2
Random-600-600-10-10,484.2
Random-600-600-14-1,532.7
Random-600-600-14-2,532.7
Random-600-600-14-3,532.7
Random-600-600-14-4,532.7
Random-600-600-14-5,532.7
Random-600-600-14-6,532.7
Random-600-600-14-7,532.7
Random-600-600-14-8,532.7
Random-600-600-14-9,532.7
Random-600-600-14-10,532.7
Random-600-600-18-1,558.1
Random-600-600-18-2,558.1
Random-600-600-18-3,558.1
Random-600-600-18-4,558.1
Random-600-600-18-5,558.1
Random-600-600-18-6,558.1
Random-600-600-18-7,558.1
Random-600-600-18-8,558.1
Random-600-600-18-9,558.1
Random-600-600-18-10,558.1
Random-600-600-20-1,566.3
Random-600-600-20-2,566.3
Random-600-600-20-3,566.3
Random-600-600-20-4,566.3
Random-600-600-20-5,566.3
Random-600-600-20-6,566.3
Random-600-600-20-7,566.3
Random-600-600-20-8,566.3
Random-600-600-20-9,566.3
Random-600-600-20-10,566.3
Random-600-600-24-1,576.8
Random-600-600-24-2,576.8
Random-600-600-24-3,576.8
Random-600-600-24-4,576.8
Random-600-600-24-5,576.8
Random-600-600-24-6,576.8
Random-600-600-24-7,576.8
Random-600-600-24-8,576.8
Random-600-600-24-9,576.8
Random-600-600-24-10,576.8
Random-600-600-28-1,583.6
Random-600-600-28-2,583.6
Random-600-600-28-3,583.6
Random-600-600-28-4,583.6
Random-600-600-28-5,583.6
Random-600-600-28-6,583.6
Random-600-600-28-7,583.6
Random-600-600-28-8,583.6
Random-600-600-28-9,583.6
Random-600-600-28-10,583.6
Random-600-600-30-1,585.9
Random-600-600-30-2,585.9
Random-600-600-30-3,585.9
Random-600-600-30-4,585.9
Random-600-600-30-5,585.9
Random-600-600-30-6,585.9
Random-600-600-30-7,585.9
Random-600-600-30-8,585.9
Random-600-600-30-9,585.9
Random-600-600-30-10,585.9
Random-600-600-34-1,589.7
Random-600-600-34-2,589.7
Random-600-600-34-3,589.7
Random-600-600-34-4,589.7
Random-600-600-34-5,589.7
Random-600-600-34-6,589.7
Random-600-600-34-7,589.7
Random-600-600-34-8,589.7
Random-600-600-34-9,589.7
Random-600-600-34-10,589.7
Rnadom-600-600-38-1,592.8
Rnadom-600-600-38-2,592.8
Rnadom-600-600-38-3,592.8
Rnadom-600-600-38-4,592.8
Rnadom-600-600-38-5,592.8
Rnadom-600-600-38-6,592.8
Rnadom-600-600-38-7,592.8
Rnadom-600-600-38-8,592.8
Rnadom-600-600-38-9,592.8
Rnadom-600-600-38-10,592.8
Random-600-600-40-1,592.2
Random-600-600-40-2,592.2
Random-600-600-40-3,592.2
Random-600-600-40-4,592.2
Random-600-600-40-5,592.2
Random-600-600-40-6,592.2
Random-600-600-40-7,592.2
Random-600-600-40-8,592.2
Random-600-600-40-9,592.2
Random-600-600-40-10,592.2
Random-800-800-2-1,190.4
Random-800-800-2-2,190.4
Random-800-800-2-3,190.4
Random-800-800-2-4,190.4
Random-800-800-2-5,190.4
Random-800-800-2-6,190.4
Random-800-800-2-7,190.4
Random-800-800-2-8,190.4
Random-800-800-2-9,190.4
Random-800-800-2-10,190.4
Random-800-800-4-1,364
Random-800-800-4-2,364
Random-800-800-4-3,364
Random-800-800-4-4,364
Random-800-800-4-5,364
Random-800-800-4-6,364
Random-800-800-4-7,364
Random-800-800-4-8,364
Random-800-800-4-9,364
Random-800-800-4-10,364
Random-800-800-6-1,506.3
Random-800-800-6-2,506.3
Random-800-800-6-3,506.3
Random-800-800-6-4,506.3
Random-800-800-6-5,506.3
Random-800-800-6-6,506.3
Random-800-800-6-7,506.3
Random-800-800-6-8,506.3
Random-800-800-6-9,506.3
Random-800-800-6-10,506.3
Random-800-800-8-1,599.6
Random-800-800-8-2,599.6
Random-800-800-8-3,599.6
Random-800-800-8-4,599.6
Random-800-800-8-5,599.6
Random-800-800-8-6,599.6
Random-800-800-8-7,599.6
Random-800-800-8-8,599.6
Random-800-800-8-9,599.6
Random-800-800-8-10,599.6
Random-800-800-10-1,658.4
Random-800-800-10-2,658.4
Random-800-800-10-3,658.4
Random-800-800-10-4,658.4
Random-800-800-10-5,658.4
Random-800-800-10-6,658.4
Random-800-800-10-7,658.4
Random-800-800-10-8,658.4
Random-800-800-10-9,658.4
Random-800-800-10-10,658.4
Random-800-800-14-1,720.3
Random-800-800-14-2,720.3
Random-800-800-14-3,720.3
Random-800-800-14-4,720.3
Random-800-800-14-5,720.3
Random-800-800-14-6,720.3
Random-800-800-14-7,720.3
Random-800-800-14-8,720.3
Random-800-800-14-9,720.3
Random-800-800-14-10,720.3
Random-800-800-18-1,748.7
Random-800-800-18-2,748.7
Random-800-800-18-3,748.7
Random-800-800-18-4,748.7
Random-800-800-18-5,748.7
Random-800-800-18-6,748.7
Random-800-800-18-7,748.7
Random-800-800-18-8,748.7
Random-800-800-18-9,748.7
Random-800-800-18-10,748.7
Random-800-800-20-1,757.8
Random-800-800-20-2,757.8
Random-800-800-20-3,757.8
Random-800-800-20-4,757.8
Random-800-800-20-5,757.8
Random-800-800-20-6,757.8
Random-800-800-20-7,757.8
Random-800-800-20-8,757.8
Random-800-800-20-9,757.8
Random-800-800-20-10,757.8
Random-800-800-24-1,770.5
Random-800-800-24-2,770.5
Random-800-800-24-3,770.5
Random-800-800-24-4,770.5
Random-800-800-24-5,770.5
Random-800-800-24-6,770.5
Random-800-800-24-7,770.5
Random-800-800-24-8,770.5
Random-800-800-24-9,770.5
Random-800-800-24-10,770.5
Random-800-800-28-1,778.4
Random-800-800-28-2,778.4
Random-800-800-28-3,778.4
Random-800-800-28-4,778.4
Random-800-800-28-5,778.4
Random-800-800-28-6,778.4
Random-800-800-28-7,778.4
Random-800-800-28-8,778.4
Random-800-800-28-9,778.4
Random-800-800-28-10,778.4
Random-800-800-30-1,781.1
Random-800-800-30-2,781.1
Random-800-800-30-3,781.1
Random-800-800-30-4,781.1
Random-800-800-30-5,781.1
Random-800-800-30-6,781.1
Random-800-800-30-7,781.1
Random-800-800-30-8,781.1
Random-800-800-30-9,781.1
Random-800-800-30-10,781.1
Random-800-800-34-1,785.3
Random-800-800-34-2,785.3
Random-800-800-34-3,785.3
Random-800-800-34-4,785.3
Random-800-800-34-5,785.3
Random-800-800-34-6,785.3
Random-800-800-34-7,785.3
Random-800-800-34-8,785.3
Random-800-800-34-9,785.3
Random-800-800-34-10,785.3
Random-800-800-38-1,788.8
Random-800-800-38-2,788.8
Random-800-800-38-3,788.8
Random-800-800-38-4,788.8
Random-800-800-38-5,788.8
Random-800-800-38-6,788.8
Random-800-800-38-7,788.8
Random-800-800-38-8,788.8
Random-800-800-38-9,788.8
Random-800-800-38-10,788.8
Random-800-800-40-1,789.9
Random-800-800-40-2,789.9
Random-800-800-40-3,789.9
Random-800-800-40-4,789.9
Random-800-800-40-5,789.9
Random-800-800-40-6,789.9
Random-800-800-40-7,789.9
Random-800-800-40-8,789.9
Random-800-800-40-9,789.9
Random-800-800-40-10,789.9
Random-800-800-44-1,792.1
Random-800-800-44-2,792.1
Random-800-800-44-3,792.1
Random-800-800-44-4,792.1
Random-800-800-44-5,792.1
Random-800-800-44-6,792.1
Random-800-800-44-7,792.1
Random-800-800-44-8,792.1
Random-800-800-44-9,792.1
Random-800-800-44-10,792.1
Random-800-800-48-1,793.11
Random-800-800-48-2,793.11
Random-800-800-48-3,793.11
Random-800-800-48-4,793.11
Random-800-800-48-5,793.11
Random-800-800-48-6,793.11
Random-800-800-48-7,793.11
Random-800-800-48-8,793.11
Random-800-800-48-9,793.11
Random-800-800-48-10,793.11
Random-800-800-50-1,794.18
Random-800-800-50-2,794.18
Random-800-800-50-3,794.18
Random-800-800-50-4,794.18
Random-800-800-50-5,794.18
Random-800-800-50-6,794.18
Random-800-800-50-7,794.18
Random-800-800-50-8,794.18
Random-800-800-50-9,794.18
Random-800-800-50-10,794.18
Random-1000-1000-2-1,237.3
Random-1000-1000-2-2,237.3
Random-1000-1000-2-3,237.3
Random-1000-1000-2-4,237.3
Random-1000-1000-2-5,237.3
Random-1000-1000-2-6,237.3
Random-1000-1000-2-7,237.3
Random-1000-1000-2-8,237.3
Random-1000-1000-2-9,237.3
Random-1000-1000-2-10,237.3
Random-1000-1000-4-1,449.4
Random-1000-1000-4-2,449.4
Random-1000-1000-4-3,449.4
Random-1000-1000-4-4,449.4
Random-1000-1000-4-5,449.4
Random-1000-1000-4-6,449.4
Random-1000-1000-4-7,449.4
Random-1000-1000-4-8,449.4
Random-1000-1000-4-9,449.4
Random-1000-1000-4-10,449.4
Random-1000-1000-6-1,635.8
Random-1000-1000-6-2,635.8
Random-1000-1000-6-3,635.8
Random-1000-1000-6-4,635.8
Random-1000-1000-6-5,635.8
Random-1000-1000-6-6,635.8
Random-1000-1000-6-7,635.8
Random-1000-1000-6-8,635.8
Random-1000-1000-6-9,635.8
Random-1000-1000-6-10,635.8
Random-1000-1000-8-1,748.2
Random-1000-1000-8-2,748.2
Random-1000-1000-8-3,748.2
Random-1000-1000-8-4,748.2
Random-1000-1000-8-5,748.2
Random-1000-1000-8-6,748.2
Random-1000-1000-8-7,748.2
Random-1000-1000-8-8,748.2
Random-1000-1000-8-9,748.2
Random-1000-1000-8-10,748.2
Random-1000-1000-10-1,822.3
Random-1000-1000-10-2,822.3
Random-1000-1000-10-3,822.3
Random-1000-1000-10-4,822.3
Random-1000-1000-10-5,822.3
Random-1000-1000-10-6,822.3
Random-1000-1000-10-7,822.3
Random-1000-1000-10-8,822.3
Random-1000-1000-10-9,822.3
Random-1000-1000-10-10,822.3
Random-1000-1000-14-1,899.2
Random-1000-1000-14-2,899.2
Random-1000-1000-14-3,899.2
Random-1000-1000-14-4,899.2
Random-1000-1000-14-5,899.2
Random-1000-1000-14-6,899.2
Random-1000-1000-14-7,899.2
Random-1000-1000-14-8,899.2
Random-1000-1000-14-9,899.2
Random-1000-1000-14-10,899.2
Random-1000-1000-18-1,936
Random-1000-1000-18-2,936
Random-1000-1000-18-3,936
Random-1000-1000-18-4,936
Random-1000-1000-18-5,936
Random-1000-1000-18-6,936
Random-1000-1000-18-7,936
Random-1000-1000-18-8,936
Random-1000-1000-18-9,936
Random-1000-1000-18-10,936
Random-1000-1000-20-1,945.8
Random-1000-1000-20-2,945.8
Random-1000-1000-20-3,945.8
Random-1000-1000-20-4,945.8
Random-1000-1000-20-5,945.8
Random-1000-1000-20-6,945.8
Random-1000-1000-20-7,945.8
Random-1000-1000-20-8,945.8
Random-1000-1000-20-9,945.8
Random-1000-1000-20-10,945.8
Random-1000-1000-24-1,962.5
Random-1000-1000-24-2,962.5
Random-1000-1000-24-3,962.5
Random-1000-1000-24-4,962.5
Random-1000-1000-24-5,962.5
Random-1000-1000-24-6,962.5
